team_home,score,team_back,datetime
Turin,1 - 0,Olympic Athens,2020-04-29 08:53:00
WBA Baggies,1 - 0,Mersey Blues,2020-04-29 08:56:00
Galataistanbul,0 - 0,Madrid Lightning,2020-04-29 08:59:00
Sevilla Tower,2 - 1,Belgium Buffalos,2020-04-29 09:02:00
Munich,1 - 0,Olympic Athens,2020-04-29 09:05:00
Barysaw Yellows,0 - 1,Donetsk Arrows,2020-04-29 09:08:00
Genova Griffins,0 - 3,Fiorentina Purples,2020-04-29 09:11:00
South Saints,1 - 1,Manchester Reds,2020-04-29 09:14:00
Belgium Buffalos,2 - 1,Valencia Juniors,2020-04-29 09:17:00
Verona City,1 - 1,Fiorentina Purples,2020-04-29 09:20:00
Stoke Utd,0 - 0,Mersey Blues,2020-04-29 09:23:00
Sassuolo Villa,0 - 1,Calcio Canaries,2020-04-29 09:26:00
Palace Eagles,2 - 0,Newcastle AFC,2020-04-29 09:29:00
Islington Reds,0 - 1,Manchester Reds,2020-04-29 09:32:00
Zagreb,2 - 1,Lisbon Reds,2020-04-29 09:35:00
South Saints,1 - 1,Islington Reds,2020-04-29 09:38:00
Sunderland Cats,0 - 0,WBA Baggies,2020-04-29 09:41:00
